run_group,repeat,model_id,task_id,error,exit_code,stderr_tail
repeat-5x-remaining,1,kimi-k2.6-foundry,log_redaction,Expecting value: line 1 column 1 (char 0),-1,
repeat-5x-remaining,1,kimi-k2.6-foundry,markdown_toc,Expecting value: line 1 column 1 (char 0),-1,
repeat-5x-remaining,1,minimax-m2.5-foundry,json_patch,,1,"====================================================================== | ERROR: test_add_replace_remove_nested_values (test_solution.JsonPatchTests.test_add_replace_remove_nested_values) | ---------------------------------------------------------------------- | Traceback (most recent call last): |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\json_patch-b5syf7pr\tests\test_solution.py"", line 9, in test_add_replace_remove_nested_values |     patched = apply_patch( |         doc, |     ...<4 lines>... |         ], |     ) |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\json_patch-b5syf7pr\solution.py"", line 33, in apply_patch |     parent = parent[part] |              ~~~~~~^^^^^^ | TypeError: list indices must be integers or slices, not str |  | ---------------------------------------------------------------------- | Ran 2 tests in 0.002s |  | FAILED (errors=1) | "
repeat-5x-remaining,1,minimax-m2.5-foundry,markdown_toc,,1,"========================== | FAIL: test_level_two_and_three_only (test_solution.TocTests.test_level_two_and_three_only) | ---------------------------------------------------------------------- | Traceback (most recent call last): |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\markdown_toc-w4_onrr4\tests\test_solution.py"", line 9, in test_level_two_and_three_only |     self.assertEqual( |     ~~~~~~~~~~~~~~~~^ |         build_toc(md), |         ^^^^^^^^^^^^^^ |         ""- [Install Now!](#install-now)\n  - [Windows Setup](#windows-setup)\n- [API Reference](#api-reference)"", |         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |     ) |     ^ | AssertionError: '- [I[20 chars]l-now!)\n  - [Windows Setup](#windows-setup)\n[29 chars]nce)' != '- [I[20 chars]l-now)\n  - [Windows Setup](#windows-setup)\n-[28 chars]nce)' | - - [Install Now!](#install-now!) | ?                              - | + - [Install Now!](#install-now) |     - [Windows Setup](#windows-setup) |   - [API Reference](#api-reference) |  |  | ---------------------------------------------------------------------- | Ran 2 tests in 0.002s |  | FAILED (failures=1) | "
repeat-5x-remaining,1,minimax-m2.5-foundry,rate_limiter,,1,"====================================================================== | FAIL: test_window_reset (test_solution.RateLimiterTests.test_window_reset) | ---------------------------------------------------------------------- | Traceback (most recent call last): |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\rate_limiter-g3rvtyqp\tests\test_solution.py"", line 18, in test_window_reset |     self.assertTrue(limiter.allow(""a"", 5.0)) |     ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError: False is not true |  | ---------------------------------------------------------------------- | Ran 2 tests in 0.002s |  | FAILED (failures=1) | "
repeat-5x-remaining,1,glm-5.1-foundry,markdown_toc,,1,"====================================================================== | FAIL: test_duplicate_headings_get_suffix (test_solution.TocTests.test_duplicate_headings_get_suffix) | ---------------------------------------------------------------------- | Traceback (most recent call last): |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\markdown_toc-k1nj08qe\tests\test_solution.py"", line 16, in test_duplicate_headings_get_suffix |     self.assertEqual(build_toc(md), ""- [Usage](#usage)\n- [Usage](#usage-1)\n  - [Usage](#usage-2)"") |     ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError: '- [Usage](#usage)\n- [Usage](#usage-2)\n  - [Usage](#usage-3)' != '- [Usage](#usage)\n- [Usage](#usage-1)\n  - [Usage](#usage-2)' |   - [Usage](#usage) | - - [Usage](#usage-2) | ?                  ^ | + - [Usage](#usage-1) | ?                  ^ | -   - [Usage](#usage-3) | ?                    ^ | +   - [Usage](#usage-2) | ?                    ^ |  |  | ---------------------------------------------------------------------- | Ran 2 tests in 0.002s |  | FAILED (failures=1) | "
repeat-5x-remaining,2,kimi-k2.6-foundry,log_redaction,Expecting value: line 1 column 1 (char 0),-1,
repeat-5x-remaining,2,minimax-m2.5-foundry,markdown_toc,,1,"========================== | FAIL: test_level_two_and_three_only (test_solution.TocTests.test_level_two_and_three_only) | ---------------------------------------------------------------------- | Traceback (most recent call last): |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\markdown_toc-wayqwzqa\tests\test_solution.py"", line 9, in test_level_two_and_three_only |     self.assertEqual( |     ~~~~~~~~~~~~~~~~^ |         build_toc(md), |         ^^^^^^^^^^^^^^ |         ""- [Install Now!](#install-now)\n  - [Windows Setup](#windows-setup)\n- [API Reference](#api-reference)"", |         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |     ) |     ^ | AssertionError: '- [I[20 chars]l-now!)\n  - [Windows Setup](#windows-setup)\n[29 chars]nce)' != '- [I[20 chars]l-now)\n  - [Windows Setup](#windows-setup)\n-[28 chars]nce)' | - - [Install Now!](#install-now!) | ?                              - | + - [Install Now!](#install-now) |     - [Windows Setup](#windows-setup) |   - [API Reference](#api-reference) |  |  | ---------------------------------------------------------------------- | Ran 2 tests in 0.002s |  | FAILED (failures=1) | "
repeat-5x-remaining,2,minimax-m2.5-foundry,sql_builder,,1,"====================================================================== | FAIL: test_parameterized_query (test_solution.SqlBuilderTests.test_parameterized_query) | ---------------------------------------------------------------------- | Traceback (most recent call last): |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\sql_builder-852d918h\tests\test_solution.py"", line 10, in test_parameterized_query |     self.assertEqual(params, [""active"", 7, 10]) |     ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError: Lists differ: ['active', 7, 'created_at', 10] != ['active', 7, 10] |  | First differing element 2: | 'created_at' | 10 |  | First list contains 1 additional elements. | First extra element 3: | 10 |  | - ['active', 7, 'created_at', 10] | + ['active', 7, 10] |  | ---------------------------------------------------------------------- | Ran 3 tests in 0.003s |  | FAILED (failures=1) | "
repeat-5x-remaining,3,kimi-k2.6-foundry,log_redaction,Expecting value: line 1 column 1 (char 0),-1,
